Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1961","1961","1000 ha","18","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1962","1962","1000 ha","17","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1963","1963","1000 ha","16","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1964","1964","1000 ha","15","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1965","1965","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1966","1966","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1967","1967","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1968","1968","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1969","1969","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1970","1970","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1971","1971","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1972","1972","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1973","1973","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1974","1974","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1975","1975","1000 ha","13","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1976","1976","1000 ha","13","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1977","1977","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1978","1978","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1979","1979","1000 ha","14","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1980","1980","1000 ha","13","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1981","1981","1000 ha","13","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1982","1982","1000 ha","13","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1983","1983","1000 ha","13","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1984","1984","1000 ha","13","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1985","1985","1000 ha","13","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1986","1986","1000 ha","13","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1987","1987","1000 ha","13","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1988","1988","1000 ha","13","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1989","1989","1000 ha","13","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1990","1990","1000 ha","13","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1990","1990","1000 ha","18.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1991","1991","1000 ha","18.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1991","1991","1000 ha","13","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1992","1992","1000 ha","13","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1992","1992","1000 ha","18.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1993","1993","1000 ha","18.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1993","1993","1000 ha","13","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1994","1994","1000 ha","13","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1994","1994","1000 ha","18.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1995","1995","1000 ha","20.65","Fc","Calculated data"
